candidate_label,warmup_conflicts,family,base_instance_id,target_roles,rows,variants,repeats,reference_search_ok_frac,candidate_search_ok_frac,candidate_search_blowup_frac,candidate_cpu_only_win_frac,candidate_protocol_win_search_bad_frac,search_ok_frac_change_vs_reference,search_ok_lost_vs_reference_rows,search_ok_gained_vs_reference_rows,new_blowup_vs_reference_rows,adapter_cached_decisions_delta_reference_mean,adapter_cached_decisions_delta_candidate_mean,adapter_cached_decisions_delta_change_vs_reference_mean,adapter_cached_conflicts_delta_reference_mean,adapter_cached_conflicts_delta_candidate_mean,adapter_cached_conflicts_delta_change_vs_reference_mean,adapter_cached_final_cpu_delta_reference_mean,adapter_cached_final_cpu_delta_candidate_mean,adapter_cached_final_cpu_delta_change_vs_reference_mean,adapter_plain_protocol_delta_reference_mean,adapter_plain_protocol_delta_candidate_mean,adapter_plain_protocol_delta_change_vs_reference_mean,event_state_l2_sum_reference_mean,event_state_l2_sum_candidate_mean,event_state_l2_sum_change_vs_reference_mean,event_state_nonzero_vars_reference_mean,event_state_nonzero_vars_candidate_mean,event_state_nonzero_vars_change_vs_reference_mean
iter=115,1,random_3sat_control,random_3sat_control_v260_c1113_seed3306,random_control,9,3,3,0.0,0.0,1.0,0.2222222222222222,0.1111111111111111,0.0,0,0,0,55015.333333333336,36602.333333333336,-18413.0,43529.666666666664,26797.666666666668,-16732.0,0.7958277777777778,0.22042555555555537,-0.5754022222222224,1.6161805504675442,0.9606516874774429,-0.6555288629901013,397.0021057128906,397.0021057128906,0.0,260.0,260.0,0.0
iter=115,1,random_3sat_control,random_3sat_control_v300_c1266_seed3307,random_control,9,3,3,0.0,0.0,1.0,0.0,0.7777777777777778,0.0,0,0,0,2524.0,2227.6666666666665,-296.3333333333333,2108.0,1854.3333333333333,-253.66666666666666,0.03172688888888889,0.024485555555555514,-0.007241333333333377,-0.5754527897060446,-0.7703232592681911,-0.19487046956214643,465.98126220703125,465.98126220703125,0.0,300.0,300.0,0.0
iter=115,1,subset_cardinality,subset_cardinality_bw10,other,9,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.0,0,0,0,1.6666666666666667,4.333333333333333,2.6666666666666665,1.3333333333333333,4.333333333333333,3.0,0.0009277777777777667,-0.00041088888888886674,-0.0013386666666666332,0.5420739553442596,0.4291857633724809,-0.11288819197177889,62.71916198730469,62.71916198730469,0.0,41.0,41.0,0.0
iter=115,1,subset_cardinality,subset_cardinality_bw12,"subset_other_variant,subset_perm_failure",9,3,3,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0,0,0,26.333333333333332,19.666666666666668,-6.666666666666667,25.0,20.666666666666668,-4.333333333333333,0.0009445555555555556,-0.0006871111111110999,-0.0016316666666666554,0.2562706068347692,0.23578073543985015,-0.02048987139491905,74.82396443684895,74.82396443684895,0.0,49.0,49.0,0.0
iter=115,1,subset_cardinality,subset_cardinality_bw8,other,9,3,3,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0,0,0,8.666666666666666,8.333333333333334,-0.3333333333333333,7.666666666666667,8.0,0.3333333333333333,-2.011111111113335e-05,-6.355555555554449e-05,-4.3444444444411124e-05,0.11258628533391815,0.14038232965140207,0.027796044317483917,53.19927215576172,53.19927215576172,0.0,33.0,33.0,0.0
iter=115,3,complete_coloring,k10_color9,hard_negative,9,3,3,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0,0,0,91650.33333333333,52204.666666666664,-39445.666666666664,87512.0,51515.333333333336,-35996.666666666664,0.4028544444444444,-0.5216777777777777,-0.9245322222222223,0.08386452090736245,0.14882578807240726,0.06496126716504486,194.41254679361978,194.41254679361978,0.0,90.0,90.0,0.0
iter=115,3,complete_coloring,k8_color7,other,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-444.6666666666667,-280.0,164.66666666666666,-375.0,-227.33333333333334,147.66666666666666,-0.013958777777777744,-0.009141444444444412,0.004817333333333333,0.09938327558783024,0.42310196766276487,0.32371869207493464,125.21592203776042,125.21592203776042,0.0,56.0,56.0,0.0
iter=115,3,complete_coloring,k9_color8,anchor,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-3126.3333333333335,-3190.0,-63.666666666666664,-2760.3333333333335,-2929.6666666666665,-169.33333333333334,-0.14535177777777772,-0.3523363333333333,-0.20698455555555556,0.0032305212003389994,0.18781602832957103,0.18458550712923202,158.03121439615884,158.03121439615884,0.0,72.0,72.0,0.0
iter=115,3,php,php_p10_h9,hard_negative,9,3,3,0.0,0.0,1.0,0.7777777777777778,0.5555555555555556,0.0,0,0,0,91650.33333333333,60815.666666666664,-30834.666666666668,87512.0,59393.0,-28119.0,0.4166144444444444,-0.22257666666666653,-0.6391911111111109,0.11859159683446095,-0.09035874457106985,-0.20895034140553082,194.41254679361978,194.41254679361978,0.0,90.0,90.0,0.0
iter=115,3,php,php_p9_h8,anchor,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-3126.3333333333335,-3190.0,-63.666666666666664,-2760.3333333333335,-2929.6666666666665,-169.33333333333334,-0.1321905555555555,-0.23574822222222222,-0.10355766666666669,0.004696073927197179,0.050441494821998806,0.04574542089480163,158.03121439615884,158.03121439615884,0.0,72.0,72.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v160_c704_seed2615,random_control,9,3,3,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0,0,0,909.3333333333334,635.0,-274.3333333333333,677.0,453.0,-224.0,0.008675111111111088,0.0006644444444444332,-0.008010666666666656,0.1305214364141159,0.21653951907118155,0.08601808265706566,362.77410888671875,362.77410888671875,0.0,160.0,160.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v180_c760_seed3301,random_control,9,3,3,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0,0,0,14689.0,30711.666666666668,16022.666666666666,12776.0,26979.0,14203.0,0.15190122222222222,0.48165055555555547,0.32974933333333334,-0.21044609806997244,0.02083903356727624,0.23128513163724873,430.8724365234375,430.8724365234375,0.0,180.0,180.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v220_c928_seed3303,random_control,9,3,3,0.0,0.0,1.0,0.1111111111111111,0.6666666666666666,0.0,0,0,0,321.0,277.6666666666667,-43.333333333333336,265.0,226.0,-39.0,0.004609777777777755,0.002279888888888867,-0.0023298888888888887,-0.40330852056072164,-0.49939802937116234,-0.09608950881044066,456.0174051920573,456.0174051920573,0.0,220.0,220.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v220_c942_seed3304,random_control,9,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,15194.0,13977.666666666666,-1216.3333333333333,13649.0,12435.666666666666,-1213.3333333333333,0.2116555555555555,0.2049502222222222,-0.006705333333333317,0.2126937397010591,0.5835479365817109,0.37085419688065185,419.5413513183594,419.5413513183594,0.0,220.0,220.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v260_c1097_seed3305,random_control,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-15828.0,-21665.666666666668,-5837.666666666667,-14791.333333333334,-20000.666666666668,-5209.333333333333,-0.45784166666666665,-0.7410805555555556,-0.2832388888888889,-3.8946728015925416,-4.821279544971519,-0.9266067433789771,493.8140055338542,493.8140055338542,0.0,260.0,260.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v260_c1113_seed3306,random_control,9,3,3,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0,0,0,60044.333333333336,41815.0,-18229.333333333332,48025.0,31698.333333333332,-16326.666666666666,0.613551111111111,0.11937222222222221,-0.4941788888888888,1.0334567797030079,1.058300061276204,0.024843281573196114,480.1115214029948,480.1115214029948,0.0,260.0,260.0,0.0
iter=115,3,random_3sat_control,random_3sat_control_v300_c1266_seed3307,random_control,9,3,3,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0,0,0,2558.6666666666665,2381.3333333333335,-177.33333333333334,2114.0,1965.3333333333333,-148.66666666666666,0.022970999999999988,0.03341844444444444,0.010447444444444443,-0.7829348932249282,-0.8665167699566815,-0.08358187673175332,624.5980224609375,624.5980224609375,0.0,300.0,300.0,0.0
iter=115,3,subset_cardinality,subset_cardinality_bw10,other,9,3,3,0.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.3333333333333333,0,3,0,18.666666666666668,13.0,-5.666666666666667,3.0,-1.0,-4.0,-0.00023833333333332218,-0.00014044444444443325,9.788888888888892e-05,0.10272304672024644,0.27254343201763764,0.16982038529739116,93.68310292561848,93.68310292561848,0.0,41.0,41.0,0.0
iter=115,3,subset_cardinality,subset_cardinality_bw12,"subset_other_variant,subset_perm_failure",9,3,3,0.0,0.0,1.0,0.8888888888888888,0.0,0.0,0,0,0,26.666666666666668,21.333333333333332,-5.333333333333333,12.666666666666666,18.666666666666668,6.0,-0.000353222222222189,-0.000530222222222211,-0.00017700000000002233,0.06035679922534354,0.2651569678015973,0.2048001685762538,103.64867909749348,103.64867909749348,0.0,49.0,49.0,0.0
iter=115,3,subset_cardinality,subset_cardinality_bw8,other,9,3,3,0.3333333333333333,0.0,1.0,0.7777777777777778,0.0,-0.3333333333333333,3,0,3,3.6666666666666665,13.0,9.333333333333334,0.3333333333333333,3.3333333333333335,3.0,0.0007300000000000111,-0.0005585555555555222,-0.0012885555555555333,0.0371619975422885,0.26029318037798665,0.22313118283569816,78.4325180053711,78.4325180053711,0.0,33.0,33.0,0.0
iter=50,1,complete_coloring,k10_color9,hard_negative,9,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.1111111111111111,-0.3333333333333333,3,0,3,-19274.0,-3460.6666666666665,15813.333333333334,-15695.666666666666,-3713.0,11982.666666666666,-0.18443777777777756,-0.6587622222222222,-0.4743244444444446,-0.07157051328535162,0.4418613120498393,0.5134318253351908,136.9733123779297,136.9733123779297,0.0,90.0,90.0,0.0
iter=50,1,complete_coloring,k8_color7,other,9,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.0,-0.3333333333333333,3,0,3,-140.0,-30.0,110.0,-110.0,-32.333333333333336,77.66666666666667,-0.006191333333333332,-0.010287888888888888,-0.0040965555555555555,0.8420751628334191,1.167753085104366,0.32567792227094694,84.77042134602864,84.77042134602864,0.0,56.0,56.0,0.0
iter=50,1,complete_coloring,k9_color8,anchor,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-1917.6666666666667,-6670.0,-4752.333333333333,-1785.0,-6141.666666666667,-4356.666666666667,-0.14853466666666662,-0.26944322222222217,-0.12090855555555555,0.5532167721413372,0.7695283657559686,0.21631159361463131,109.49154917399089,109.49154917399089,0.0,72.0,72.0,0.0
